BRANCH,BRANCH CODE,INV.NO,DATE,CUSTOMER NAME,CUSTOMER ID,ITEM NAME,ITEM CODE,Quantity,Free Qty,Unit,Price,Amount (CDF),Amount(USD),Sales Type
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,UNICLAV NORRISSON 281.25MG (AMOXICLAV) SUSP.60ML,FG03405,3,0.0,PIECES,3.0,26010.0,9.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,UNICLAV ENFANT 562.5MG (AMOXICLAV) SUSP.60ML,FG03404,2,0.0,PIECES,3.5,20230.0,7.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,VAGIKLIN (CLINDA.+CLOTRI.) B/ 3 OVULES,FG03428,5,0.0,PIECES,1.75,25287.5,8.75,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,VAGIKLIN FORTE (CLINDA.+CLOTRI.+METRO.) B/7 OVULES,FG03429,2,0.0,PIECES,3.5,20230.0,7.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,DEXOL (ANTIGRIPPALES) B/10 CAPSULES,FG01040,5,0.0,PIECES,1.2,17340.0,6.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,DERMACIDAL (ANTISEPSIE) SOLUTION 125ML,FG01000,4,0.0,PIECES,1.8,20808.0,7.2,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,CEFINIQUE 40MG/5ML (CEFIXIME) SUSP. ORALE 60ML,FG00621,5,0.0,PIECES,2.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,CEFINIQUE 50MG/5ML (CEFIXIME) SUSP. ORALE 100ML,FG00622,5,0.0,PIECES,2.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,CEFINIQUE 100MG/5ML (CEFIXIME) SUSP. ORALE 100ML,FG03633,5,0.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,CEFINIQUE 200MG (CEFIXIME) DISP. B/ 10 CES,FG00619,5,1.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000003,02/01/2025,EBEN EZER 2 DEL BONNETE WSL#012999,WSL012999,HIFER-Z (ANTI-ANEMIC) SIROP 200ML,FG01590,2,0.0,PIECES,2.5,14450.0,5.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,CEFINIQUE 200MG (CEFIXIME) DISP. B/ 10 CES,FG00619,5,1.0,PIECES,2.5,36125.0,12.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,CEFINIQUE 100MG (CEFIXIME) DISP. B/ 10 CES,FG00618,3,0.0,PIECES,1.8,15606.0,5.4,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,QLINDA 300MG INJ.(CLINDAMYCINE) B/1 AMP,FG02666,10,0.0,PIECES,1.5,43350.0,15.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,QLINDA 150MG INJ.(CLINDAMYCINE) B/1 AMP,FG02664,10,0.0,PIECES,1.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,COMPRESSES STERILS 40X40CM B/10PCS (UNIQUE),FG00856,5,0.0,PIECES,0.62,8959.0,3.1,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,S.A.T. 1500IU/0.75ML (ANTI-TETANUES) INJ. B/10AMP,FG04078,5,0.0,PIECES,7.0,101150.0,35.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,UCOX 90MG (ETORICOXIB) B/10 CES,FG03389,2,0.0,PIECES,2.5,14450.0,5.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,HIFER (FER+ACIDE FOLIC) B/ 3X10 CES,FG01587,2,0.0,PIECES,1.3,7514.0,2.6,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,NOCIGEL (ANTIACIDE + ANTIFLATULENT) SUSP. 200ML,FG02195,3,0.0,PIECES,2.5,21675.0,7.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,UNICLAV DUO 1125MG (AMOXICLAV) B/16 CES,FG03402,2,0.0,PIECES,5.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,START-150MG (ARTESUNATE) INJECTABLE B/ 1 KIT,FG03086,5,1.0,PIECES,3.5,50575.0,17.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,GANTCHIRURGICAX NO 7.5 PAIRE/1,FG01448,50,0.0,PIECES,0.16,23120.0,8.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,LUTHER DP DISPERSIBLE B/ 6 CES,FG01863,10,0.0,PIECES,3.3,95370.0,33.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,LUTHER JUNIOR DISPERSIBLE B/6 CES,FG01867,5,0.0,PIECES,2.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,CHYMOTRYPSINE 5000UI INJ.B/5AMP(CHYMAR),FG03646,3,0.0,PIECES,2.25,19507.5,6.75,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,VAGIKLIN FORTE (CLINDA.+CLOTRI.+METRO.) B/7 OVULES,FG03429,4,0.0,PIECES,3.5,40460.0,14.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,VAGIKLIN (CLINDA.+CLOTRI.) B/ 3 OVULES,FG03428,2,0.0,PIECES,1.75,10115.0,3.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,OUICEF-S 1.5MG (CEFOTAXIME+SULB) INJ B/1VIAL+EAU,FG02350,20,0.0,PIECES,1.0,57800.0,20.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,OUICEF 1000MG (CEFOTAXIME) INJ. B/1 VIAL + EAU,FG02349,20,2.0,PIECES,0.8,46240.0,16.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,TRIXON-1G (CEFTRIAXONE) INJ. B/1 VIAL+EAU DIST.,FG03350,30,3.0,PIECES,1.25,108375.0,37.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,UNIPURE 67MG (PURIFICATION DE L'EAU) PLS 8 CES,FG07028,20,0.0,PIECES,0.1,5780.0,2.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,RABEQUE 20MG (RABEPRAZOLE) B/ 10 CES,FG02694,2,0.0,PIECES,1.2,6936.0,2.4,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,ACTM 80 MG/480 MG ADULT B/ 6 CES,FG03607,10,0.0,PIECES,0.65,18785.0,6.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,SECOURS (PAIN RELIEF) B/10CES,FG04082,10,0.0,PIECES,0.1,2890.0,1.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,VENTOLIQUE (SALBUTAMOL) SIROP 100ML,FG04104,2,0.0,PIECES,0.4,2312.0,0.8,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,VENTOLIQUE (SALBUTAMOL) 100MCG SPRAY 200 DOSES,FG04492,2,0.0,PIECES,1.15,6647.0,2.3,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,START-120MG (ARTESUNATE) INJECTABLE B/ 1 KIT,FG03085,5,1.0,PIECES,3.3,47685.0,16.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,START-60MG (ARTESUNATE) INJECTABLE B/ 1 KIT,FG03091,5,1.0,PIECES,2.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,OFLOQUE-OZ (OFLOXACINE+ORNIDA.) B/10 CES,FG02257,2,0.0,PIECES,2.5,14450.0,5.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,SERINGUE 10CC..1PCS (UNIQUE),FG02899,100,0.0,PIECES,0.04,11560.0,4.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,EPICRANIAN 23G BLUE PCS/10 PCS,FG01245,10,0.0,PIECES,0.3,8670.0,3.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,CHLORAMPHENICOL 0.5% COLLYRE 10ML,FG04611,10,0.0,PIECES,0.15,4335.0,1.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,LINCONIC 500MG (LINCOMYCIN) B/10 CAP,FG04046,20,0.0,PIECES,0.4,23120.0,8.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,LYCOTONE (LYCOPENE+MULTIVI+MINER) SUSP.FL/ 100ML,FG01872,2,0.0,PIECES,1.5,8670.0,3.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,A TO Z (MULTIVITAMIN) SIROP 200ML,FG00008,3,0.0,PIECES,1.5,13005.0,4.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000004,02/01/2025,SAINT PIERRE DEL DR WSL#012644,WSL012644,CEFINIQUE 400MG (CEFIXIME) DISP. B/10 CES,FG00620,3,0.0,PIECES,3.0,26010.0,9.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000005,02/01/2025,NEW TOWN DEL GUYLITH DR WSL#007617,WSL007617,TRIXON-S-1500 MG (CEFTRI.+SULBAC) INJ. B/1 VIAL,FG03352,10,1.0,PIECES,1.8,52020.0,18.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000005,02/01/2025,NEW TOWN DEL GUYLITH DR WSL#007617,WSL007617,PERFAC 1G (PARACETAMOL) PERFUSION I.V.FL/100ML,FG02489,30,0.0,PIECES,1.25,108375.0,37.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,CEFINIQUE 100MG (CEFIXIME) DISP. B/ 10 CES,FG00618,10,0.0,PIECES,1.8,52020.0,18.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,OUICEF-S 1.5MG (CEFOTAXIME+SULB) INJ B/1VIAL+EAU,FG02350,10,0.0,PIECES,1.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,LINCONIC 500MG (LINCOMYCIN) B/10 CAP,FG04046,50,0.0,PIECES,0.4,57800.0,20.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,TROUSSE DE PERIFUSION PCS (NORMALE),FG03357,50,0.0,PIECES,0.12,17340.0,6.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,EAU DISTILLEE B/50 PCS,FG04632,6,0.0,PIECES,1.4,24276.0,8.4,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,WORMINIX 400 (ALBENDAZOLE) B/1X20 CES,FG04809,2,0.0,PIECES,1.0,5780.0,2.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,TRIXON-1G (CEFTRIAXONE) INJ. B/1 VIAL+EAU DIST.,FG03350,40,4.0,PIECES,1.25,144500.0,50.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,UNITRIM 480MG (COTRIMOXAZOLE) B/10X10 CES,FG04617,3,0.0,PIECES,1.2,10404.0,3.6,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,TRIXON-S-750MG (CEFTRI.+SULBAC.) INJ.B/1 VIAL,FG03353,20,0.0,PIECES,1.3,75140.0,26.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,HIFER (FER+ACIDE FOLIQUE) SIRUP FL/150ML,FG01588,7,0.0,PIECES,1.5,30345.0,10.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,COMPRESSES STERILS 40X40CM B/10PCS (UNIQUE),FG00856,10,0.0,PIECES,0.62,17918.0,6.2,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,BAND AID B/100PCS,FG00410,5,0.0,PIECES,0.5,7225.0,2.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,ONDACET 4MG (ONDASETRON) INJ. B/1 AMP+ SER.,FG02276,10,0.0,PIECES,0.6,17340.0,6.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,FALSIQUE(SUFADOXIME+PYRIME) 500MG+25MG PL/3CES,FG03881,100,0.0,PIECES,0.21,60690.0,21.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,UNIMOL (PARA.+DIC.+CAF.) B/10 CES,FG04099,60,0.0,PIECES,0.17,28611.0,9.9,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,S.A.T. 1500IU/0.75ML (ANTI-TETANUES) INJ. B/10AMP,FG04078,3,0.0,PIECES,7.0,60690.0,21.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,PENICILLINE V.K. 250MG B/10 X 10CES,FG04773,5,0.0,PIECES,1.7,24565.0,8.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,PENI V.K.125MG POUDRE POUR SUSP.60ML,FG04067,10,0.0,PIECES,0.45,13005.0,4.5,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,ERYTHROMYCINE 500MG PLS/10CES***(ERINOCIN),FG03879,30,0.0,PIECES,0.52,45084.0,15.6,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,TOPGYL (METRONIDAZOLE) INJ. 100ML,FG04093,50,0.0,PIECES,0.28,39737.5,13.75,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,CIPROQUE (CIPROFLOXACIN) INJ 100ML,FG03650,50,0.0,PIECES,0.28,39737.5,13.75,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,NICARDEX 10MG/10ML (NICARDIPINE) INJ. B/5 AMP,FG02174,3,0.0,PIECES,8.0,69360.0,24.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,PA (PARACETAMOL) IV/IM INJ. B/5 AMP,FG02367,10,0.0,PIECES,1.0,28900.0,10.0,Credit Sales
APPOLO DEPOT,KWAD25INV,KWAD25INV000006,02/01/2025,EXTRA CARREL DEL DR WSL#013425,WSL013425,ZINQUE - DT 20MG (SULFATE DE ZINC ) B/10 CES,FG03567,5,0.0,PIECES,0.65,9392.5,3.25,Credit Sales
